method	transfer_size	num_transfers	total_bytes	elapsed_ms	bandwidth_MBps	per_transfer_us
h2d_pinned	4096	100	409600	1.191	327.9	11.91
h2d_pageable	4096	100	409600	1.35	289.4	13.5
h2d_pinned	16384	100	1638400	1.075	1453.5	10.75
h2d_pageable	16384	100	1638400	1.538	1015.6	15.38
h2d_pinned	65536	100	6553600	1.107	5645.4	11.07
h2d_pageable	65536	100	6553600	1.886	3314.1	18.86
h2d_pinned	262144	100	26214400	1.531	16331.3	15.31
h2d_pageable	262144	100	26214400	3.829	6528.9	38.29
h2d_pinned	1048576	64	67108864	4.221	15161.2	65.96
h2d_pageable	1048576	64	67108864	7.692	8319.8	120.2
h2d_pinned	4194304	16	67108864	3.441	18599.2	215.06
h2d_pageable	4194304	16	67108864	7.686	8326.7	480.38
h2d_pinned	16777216	4	67108864	3.485	18363.4	871.3
h2d_pageable	16777216	4	67108864	8.3	7710.9	2074.97
h2d_pinned	67108864	1	67108864	3.33	19221.0	3329.7
h2d_pageable	67108864	1	67108864	10.461	6117.7	10461.5
h2d_pinned	134217728	1	134217728	7.608	16824.2	7608.1
h2d_pageable	134217728	1	134217728	20.631	6204.3	20630.9
h2d_pinned	67108864	1	67108864	3.454	18529.8	3453.9
h2d_pinned	16777216	4	67108864	3.429	18664.3	857.25
h2d_pinned	4194304	16	67108864	3.714	17232.1	232.12
h2d_pinned	1048576	64	67108864	3.875	16517.0	60.54
h2d_pinned	262144	256	67108864	3.887	16465.1	15.18
h2d_pinned	65536	1024	67108864	11.99	5337.9	11.71
d2h_pinned	67108864	3	201326592	9.736	19719.8	3245.47
